Date,Name,Year,Letterboxd URI
2022-07-10,Blancanieves,2012,https://boxd.it/4bwu
2022-07-10,The National Shotgun,1978,https://boxd.it/3S4G
2022-07-10,Panty & Stocking with Garterbelt,2010,https://boxd.it/pIhu
2022-07-12,Carrie,1976,https://boxd.it/20ZQ
2022-07-13,Farrucas,2021,https://boxd.it/vtr2
2022-07-16,"Girl, Interrupted",1999,https://boxd.it/25ds
2022-07-18,Bambola,1996,https://boxd.it/v8O
2022-07-20,Happy Together,1997,https://boxd.it/1Ha0
2022-07-24,"Synecdoche, New York",2008,https://boxd.it/23zw
2022-07-25,The Island Inside,2009,https://boxd.it/3kI8
2022-07-26,Ghost in the Shell,1995,https://boxd.it/1YYc
2022-07-27,The Brown Bunny,2003,https://boxd.it/1RnI
2022-07-29,Heartbeast,2022,https://boxd.it/rfSA
2022-07-29,American Psycho,2000,https://boxd.it/28Vs
2022-07-30,Three Colours: Blue,1993,https://boxd.it/2b7K
2022-07-31,The Hill Where Lionesses Roar,2021,https://boxd.it/uVt4
2022-08-02,Sleeping Beauty,1959,https://boxd.it/1V9A
2022-08-03,Lazarus,2020,https://boxd.it/sq7C
2022-08-03,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2022-08-05,Heathers,1989,https://boxd.it/26x4
2022-08-07,Blue My Mind,2017,https://boxd.it/ghj6
2022-08-08,Irreversible,2002,https://boxd.it/29as
2022-08-11,Softie,2021,https://boxd.it/oCIs
2022-08-12,Mighty Flash,2021,https://boxd.it/tgk4
2022-08-13,Three Colours: White,1994,https://boxd.it/2b7A
2022-08-22,Three Colours: Red,1994,https://boxd.it/2b7q
2022-08-22,Gilda,1946,https://boxd.it/251G
2022-08-25,Jezebel,1938,https://boxd.it/27IM
2022-09-01,The Boxtrolls,2014,https://boxd.it/5grw
2022-09-04,Antichrist,2009,https://boxd.it/1Inu
2022-09-05,The Innocence,2019,https://boxd.it/n52Q
2022-09-08,Rear Window,1954,https://boxd.it/2a6Q
2022-09-08,The Blair Witch Project,1999,https://boxd.it/26ua
2022-09-09,Pink Flamingos,1972,https://boxd.it/29NO
2022-09-10,The Lady from Shanghai,1947,https://boxd.it/251Q
2022-09-11,Lola,1981,https://boxd.it/273u
2022-09-12,The House,2022,https://boxd.it/yVza
2022-09-13,Aloma & Mila,2020,https://boxd.it/umsq
2022-09-14,Professor Layton and the Eternal Diva,2009,https://boxd.it/10gu
2022-09-14,The Birds,1963,https://boxd.it/2a6m
2022-09-17,Dragonflies,2022,https://boxd.it/zBDI
2022-09-21,Dogville,2003,https://boxd.it/2a8W
2022-09-22,The Virgin Suicides,1999,https://boxd.it/28JG
2022-09-24,The Human Voice,2020,https://boxd.it/p148
2022-09-29,The Phantom of the Sauna,2021,https://boxd.it/xxrO
2022-10-01,Victoria,2015,https://boxd.it/amSe
2022-10-04,Happy Hour,2015,https://boxd.it/bXge
2022-10-04,Cabaret,1972,https://boxd.it/1Vpe
2022-10-09,West Side Story,1961,https://boxd.it/28dK
2022-10-09,All Too Well: The Short Film,2021,https://boxd.it/xTmc
2022-10-09,Where Is the Friend's House?,1987,https://boxd.it/ELg
2022-10-09,Counting Sheep,2022,https://boxd.it/xu14
2022-10-11,X,2022,https://boxd.it/sxVa
2022-10-11,Belle Époque,1992,https://boxd.it/26FM
2022-10-14,Crimes of the Future,2022,https://boxd.it/uTuY
2022-10-18,María (and Everybody Else),2016,https://boxd.it/eEHc
2022-10-23,Wild Flowers,2022,https://boxd.it/sOTg
2022-10-23,Grease,1978,https://boxd.it/29YW
2022-10-23,The Jungle Book,1967,https://boxd.it/1YY2
2022-10-23,Beauty and the Beast,1991,https://boxd.it/1XhG
2022-10-23,Frozen,2013,https://boxd.it/3GNa
2022-10-24,Love Happy,1949,https://boxd.it/1t7w
2022-10-24,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q
2022-10-26,Audition,1999,https://boxd.it/1UHm
2022-10-27,A Star Is Born,1954,https://boxd.it/25I6
