Date,Name,Year,Letterboxd URI,Rating
2023-05-18,Dogtooth,2009,https://boxd.it/158K,2
2023-05-20,Manderlay,2005,https://boxd.it/27Mu,4
2023-05-22,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/237s,3
2023-05-27,The Crow,1994,https://boxd.it/1Yxq,3
2023-05-28,Stand by Me,1986,https://boxd.it/2aOe,3.5
2023-05-30,Strange Way of Life,2023,https://boxd.it/Aomw,3
2023-05-30,The Barbie Diaries,2006,https://boxd.it/1Bw0,0.5
2023-06-01,Barbie: Princess Charm School,2011,https://boxd.it/2vLK,5
2023-06-01,Footlight Parade,1933,https://boxd.it/1pBM,3.5
2023-06-04,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,3
2023-06-09,Easter Parade,1948,https://boxd.it/1nCe,3.5
2023-06-12,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,3.5
2023-06-13,Wild at Heart,1990,https://boxd.it/2aii,4.5
2023-06-23,The Time Machine,1960,https://boxd.it/27mQ,3
2023-06-24,Linda Linda Linda,2005,https://boxd.it/1s1C,4
2023-07-02,Asteroid City,2023,https://boxd.it/s3ds,3.5
2023-07-05,Barbie in the Pink Shoes,2013,https://boxd.it/5dRG,1
2023-07-05,Hoax,2022,https://boxd.it/DqW8,2.5
2023-07-06,The Fantastic Golem Affairs,2023,https://boxd.it/DRP4,3.5
2023-07-09,Christiane F.,1981,https://boxd.it/1YiA,4
2023-07-10,The Virgin Suicides,1999,https://boxd.it/28JG,4.5
2023-07-15,The French Dispatch,2021,https://boxd.it/jLP8,3
2023-07-24,Barbie,2023,https://boxd.it/bCLK,3
2023-07-24,Nimona,2023,https://boxd.it/Aiyc,4
2023-07-30,Safe,1995,https://boxd.it/1gKU,4.5
2023-08-02,My Fault,2023,https://boxd.it/CcDk,0.5
2023-08-10,Timecrimes,2007,https://boxd.it/1OGM,4
2023-08-11,Through My Window: Across the Sea,2023,https://boxd.it/BkEI,0.5
2023-08-11,The Kissing Booth,2018,https://boxd.it/geR0,0.5
2023-08-12,On the Town,1949,https://boxd.it/1iVg,3.5
2023-09-06,Bodies Bodies Bodies,2022,https://boxd.it/iRcE,4
2023-09-11,The Red Shoes,1948,https://boxd.it/1EXI,4
2023-09-16,Jennifer's Body,2009,https://boxd.it/1Efw,3
2023-09-22,EMO the Musical,2016,https://boxd.it/e8Hk,2.5
2023-09-23,Sugar & Spice,2001,https://boxd.it/1JKa,3.5
2023-09-27,Mistress America,2015,https://boxd.it/9UfS,4.5
2023-09-29,Chinas,2023,https://boxd.it/D7pa,4
2023-10-01,Monster,2023,https://boxd.it/DJEM,4.5
2023-10-01,Fallen Angels,1995,https://boxd.it/1UkW,5
2023-10-10,Wild Child,2008,https://boxd.it/1P0C,2
2023-10-15,Bad Education,2004,https://boxd.it/2b2K,4
2023-10-19,The Twilight Saga: Breaking Dawn – Part 1,2011,https://boxd.it/DdM,1.5
2023-10-19,Infinity Pool,2023,https://boxd.it/oPSK,4
2023-10-24,Scream,1996,https://boxd.it/24EC,3.5
2023-11-02,Un amor,2023,https://boxd.it/F8XG,3.5
2023-11-03,Close Your Eyes,2023,https://boxd.it/BGhm,2.5
2023-11-08,Five Nights at Freddy's,2023,https://boxd.it/ikHu,1
2023-11-20,Mamacruz,2023,https://boxd.it/E316,3
2023-11-27,Andrea's Love,2023,https://boxd.it/DSM6,1.5
2023-11-28,Bottoms,2023,https://boxd.it/uGf2,3
2023-12-05,Holiday Inn,1942,https://boxd.it/1Q4K,2
2023-12-19,A Star Is Born,2018,https://boxd.it/aXgc,1.5
2023-12-22,Something Is About to Happen,2023,https://boxd.it/vf5w,4.5
2023-12-25,Barbie in 'A Christmas Carol',2008,https://boxd.it/1Q8C,1.5
2023-12-25,Love Happy,1949,https://boxd.it/1t7w,1.5
2023-12-25,"20,000 Species of Bees",2023,https://boxd.it/DRPy,4.5
2023-12-25,Kiki's Delivery Service,1989,https://boxd.it/1JAY,3
2023-12-26,Wheel of Fortune and Fantasy,2021,https://boxd.it/tWcm,4
2023-12-26,The Bling Ring,2013,https://boxd.it/3lPY,2.5
2023-12-28,Delicacy,2011,https://boxd.it/2Qmc,4.5
2023-12-29,Whore and Beloved,2018,https://boxd.it/jg9K,3.5
2023-12-30,Anatomy of a Fall,2023,https://boxd.it/yuDE,3
2023-12-31,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,4
2023-12-31,Saltburn,2023,https://boxd.it/z4eg,3.5
2024-01-01,The Discreet Charm of the Bourgeoisie,1972,https://boxd.it/2440,3
2024-01-02,Suspiria,1977,https://boxd.it/1SNW,3
2024-01-05,Suspiria,2018,https://boxd.it/cioI,3.5
2024-01-06,You're Next,2011,https://boxd.it/2WWK,3
2024-01-07,Belle de Jour,1967,https://boxd.it/29Uq,5
2024-01-07,Barbie Mariposa,2008,https://boxd.it/1Hom,1
